title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date
Pro Evolution Soccer 2011 3D,3DS,Sports,Konami,Konami,7.5,0.38,0.11,0.11,0.13,0.02,2011-03-25
Pokémon Channel,GC,Adventure,Nintendo,Ambrella,5.2,0.38,0.24,0.07,0.06,0.01,2003-12-01
Ghost Trick: Phantom Detective,DS,Adventure,Capcom,Capcom,8.2,0.38,0.17,0.12,0.08,0.02,2011-01-11
Wii Sports Club,WiiU,Sports,Nintendo,Nintendo,6.7,0.38,0.17,0.04,0.14,0.03,2014-07-25
Grandia Xtreme,PS2,Role-Playing,Enix,Game Arts,6.7,0.38,0.07,0.25,0.05,0.02,2002-09-30
EA Sports MMA,PS3,Fighting,EA Sports,EA Tiburon,7.6,0.37,0.16,0.01,0.14,0.06,2010-10-19
Burnout Paradise Remastered,PS4,Racing,Electronic Arts,Stellar Entertainment,8.0,0.37,0.08,0.01,0.22,0.06,2018-03-16
Sonic Lost World,WiiU,Platform,Sega,Sonic Team,6.0,0.37,0.2,0.01,0.13,0.03,2013-10-29
Castlevania: Order of Ecclesia,DS,Platform,Konami,Konami,8.2,0.37,0.27,0.04,0.03,0.03,2008-10-21
Shin Megami Tensei IV: Apocalypse,3DS,Role-Playing,Atlus,Atlus,8.1,0.37,0.15,0.16,0.05,0.02,2016-09-20
Dungeon Siege III,X360,Role-Playing,Square Enix,Obsidian Entertainment,7.2,0.37,0.21,0.01,0.12,0.03,2011-06-21
Rune Factory: Frontier,Wii,Role-Playing,Xseed Games,Neverland Company,7.9,0.37,0.16,0.04,0.13,0.03,2009-03-17
Tomb Raider: Legend,X360,Action,Eidos Interactive,Crystal Dynamics,8.1,0.37,0.27,0.01,0.07,0.03,2006-04-11
Fragile Dreams: Farewell Ruins of the Moon,Wii,Role-Playing,Xseed Games,Tri-Crescendo,6.7,0.37,0.16,0.06,0.12,0.03,2010-03-16
Wanted: Weapons of Fate,X360,Shooter,Warner Bros. Interactive,GRIN,6.2,0.37,0.17,0.0,0.15,0.04,2009-03-24
BlazBlue: Calamity Trigger,X360,Fighting,Aksys Games,Arc System Works,8.5,0.36,0.21,0.04,0.08,0.03,2009-06-30
Tekken Hybrid,PS3,Fighting,Namco,Namco Bandai Games,4.0,0.36,0.21,0.04,0.07,0.04,2011-11-22
LocoRoco 2,PSP,Platform,Sony Computer Entertainment,SCE Japan Studio,8.5,0.36,0.21,0.01,0.09,0.05,2009-02-10
Formula 1 Championship Edition,PS,Racing,Sony Computer Entertainment,Bizarre Creations,8.5,0.36,0.06,0.23,0.04,0.02,1997-09-30
Harvest Moon: The Tale of Two Towns,3DS,Simulation,Natsume,Marvelous Interactive,6.3,0.36,0.28,0.05,0.0,0.02,2011-11-01
Trauma Center: Under the Knife,DS,Simulation,Atlus,Atlus Co.,8.0,0.36,0.3,0.02,0.01,0.03,2005-10-04
The Wonderful 101,WiiU,Action,Nintendo,PlatinumGames,8.0,0.36,0.15,0.08,0.11,0.02,2013-09-15
Nintendo Labo: Toy-Con 02 Robot Kit,NS,Action,Nintendo,Nintendo EPD,7.0,0.36,0.18,0.08,0.08,0.03,2018-04-20
Call of Duty: Ghosts,WiiU,Shooter,Activision,Infinity Ward,8.8,0.35,0.22,0.01,0.09,0.03,2013-11-05
Dead or Alive 5 Last Round,PS4,Fighting,Tecmo Koei,Team Ninja,7.1,0.35,0.09,0.09,0.13,0.04,2015-02-17
Dragon Ball Z: Extreme Butoden,3DS,Fighting,Namco Bandai Games,Arc System Works,5.0,0.35,0.13,0.17,0.03,0.02,2015-10-20
EverGrace,PS2,Role-Playing,Agetec,From Software,6.2,0.35,0.1,0.15,0.08,0.03,2000-10-24
Suikoden V,PS2,Role-Playing,Konami,Hudson Soft,7.9,0.35,0.08,0.19,0.06,0.02,2006-03-21
Persona 2: Eternal Punishment,PS,Role-Playing,Atlus,Atlus Co.,8.7,0.35,0.03,0.28,0.02,0.02,2000-12-22
Terminator Salvation,X360,Shooter,Warner Bros. Interactive,Halcyon,5.2,0.35,0.13,0.0,0.18,0.04,2009-05-19
Def Jam Icon,X360,Action,Electronic Arts,Unknown,6.3,0.35,0.3,0.0,0.01,0.03,2007-03-06
Trauma Center: Second Opinion,Wii,Simulation,Atlus,Atlus Co.,8.2,0.34,0.28,0.03,0.01,0.03,2006-11-14
The Eye of Judgment,PS3,Strategy,Sony Computer Entertainment,SCE Japan Studio,7.5,0.34,0.28,0.02,0.0,0.03,2007-10-24
Dynasty Warriors 6 Empires,PS3,Action,KOEI,Omega Force,6.4,0.34,0.14,0.15,0.03,0.02,2009-06-23
Battalion Wars 2,Wii,Strategy,Nintendo,Kuju Entertainment,7.7,0.34,0.22,0.08,0.02,0.02,2007-10-29
Dynasty Warriors: Gundam 2,PS2,Action,Namco Bandai,Omega Force,4.9,0.34,0.04,0.25,0.03,0.01,2009-04-21
Dynasty Warriors 5 Empires,PS2,Action,KOEI,Omega Force,6.3,0.34,0.11,0.12,0.09,0.03,2006-03-28
Tenchu Z,X360,Action,Microsoft,K2 LLC,5.7,0.34,0.27,0.02,0.02,0.03,2007-06-12
Star Ocean: Second Evolution,PSP,Role-Playing,Square Enix,TOSE Software,8.0,0.34,0.14,0.16,0.02,0.02,2009-01-20
Lord of Arcana,PSP,Role-Playing,Square Enix,Square Enix,4.7,0.34,0.08,0.17,0.05,0.04,2011-01-25
Dead or Alive 5,X360,Fighting,Tecmo Koei,Team Ninja,7.6,0.33,0.2,0.03,0.08,0.03,2012-09-25
Street Fighter Alpha 3 MAX,PSP,Fighting,Capcom,Capcom,7.8,0.33,0.27,0.02,0.01,0.03,2006-02-07
Kirby: Battle Royale,3DS,Fighting,Nintendo,HAL Laboratory,6.0,0.33,0.07,0.2,0.05,0.01,2018-01-19
Fracture,X360,Shooter,LucasArts,Day 1 Studios,4.0,0.33,0.15,0.0,0.14,0.04,2008-10-07
Clock Tower 3,PS2,Adventure,Capcom,SunSoft,7.0,0.33,0.1,0.12,0.08,0.03,2003-03-18
Dr. Mario / Puzzle League,GBA,Puzzle,Nintendo,Intelligent Systems,7.5,0.33,0.12,0.16,0.04,0.01,2005-11-28
Bomberman World,PS,Puzzle,Atlus,Hudson Soft,6.5,0.33,0.06,0.22,0.04,0.02,1998-09-22
Planet Puzzle League,DS,Puzzle,Nintendo,Intelligent Systems,8.6,0.33,0.14,0.16,0.01,0.01,2007-06-04
Mega Man ZX Advent,DS,Platform,Capcom,Inti Creates,7.6,0.33,0.22,0.09,0.0,0.02,2007-10-23
NBA 2K10,PSP,Sports,2K Sports,Visual Concepts,5.5,0.33,0.3,0.0,0.0,0.03,2009-10-06
Etrian Odyssey,DS,Role-Playing,Atlus,Atlus Co. / Lancarse,7.4,0.33,0.19,0.09,0.03,0.02,2007-05-15
Resonance of Fate,X360,Role-Playing,Sega,tri-Ace,7.4,0.33,0.12,0.06,0.13,0.03,2010-03-16
Tokyo Mirage Sessions #FE,WiiU,Role-Playing,Nintendo,Atlus,8.0,0.33,0.17,0.08,0.06,0.02,2016-06-24
Disgaea 2: Cursed Memories,PS2,Role-Playing,NIS America,Nippon Ichi Software,7.9,0.33,0.09,0.15,0.07,0.02,2006-08-29
Capcom Classics Collection Reloaded,PSP,Misc,Capcom,Capcom,7.1,0.33,0.26,0.03,0.0,0.03,2006-10-24
Klonoa 2: Lunatea's Veil,PS2,Platform,Namco,Namco,9.4,0.33,0.12,0.08,0.1,0.03,2001-07-25
Classic NES Series: Castlevania,GBA,Platform,Nintendo,Konami,7.4,0.33,0.17,0.09,0.06,0.01,2004-10-25
Ninja Blade,X360,Action,Microsoft,From Software,6.7,0.33,0.14,0.02,0.14,0.03,2009-04-07
Folklore,PS3,Role-Playing,Sony Computer Entertainment,Game Republic,7.5,0.32,0.2,0.05,0.04,0.03,2007-10-09
Bleach: Shattered Blade,Wii,Fighting,Sega,Polygon Magic,5.3,0.32,0.21,0.08,0.01,0.02,2007-10-09
Shin Megami Tensei: Persona 2: Innocent Sin,PSP,Role-Playing,Atlus,Atlus Co.,7.0,0.32,0.14,0.11,0.04,0.04,2011-09-20
Final Fantasy XI: Online,PS2,MMO,Square Enix,Square Enix,8.4,0.32,0.08,0.15,0.06,0.02,2004-09-21
Eternal Sonata,X360,Role-Playing,Namco Bandai,Tri-Crescendo,7.9,0.32,0.19,0.08,0.04,0.02,2007-09-17
Chibi-Robo! Zip Lash,3DS,Platform,Nintendo,Nintendo,5.5,0.32,0.14,0.07,0.09,0.02,2015-10-09
Final Fantasy XI: Wings of the Goddess,X360,Role-Playing,Square Enix,Square Enix,6.5,0.32,0.28,0.02,0.0,0.03,2007-11-20
Beautiful Katamari,X360,Puzzle,Namco Bandai,Now Production,7.3,0.32,0.14,0.15,0.02,0.02,2007-10-16
Elebits,Wii,Action,Konami,Konami,7.3,0.32,0.22,0.08,0.01,0.02,2006-12-12
Dead Rising 2: Off the Record,PS3,Action,Capcom,Blue Castle Games,7.1,0.32,0.11,0.1,0.08,0.03,2011-10-11
Singularity,X360,Shooter,Activision,Raven Software,7.7,0.32,0.24,0.0,0.04,0.03,2010-06-29
Test Drive Unlimited,X360,Racing,Atari,Eden Studios,8.0,0.32,0.23,0.02,0.04,0.02,2006-09-05
Operation Flashpoint: Red River,PS3,Shooter,Codemasters,Codemasters,6.8,0.32,0.06,0.07,0.14,0.05,2011-06-07
BlazBlue: Continuum Shift,X360,Fighting,Aksys Games,Arc System Works,8.6,0.32,0.23,0.02,0.04,0.02,2010-07-27
Fuel,X360,Racing,Codemasters,Asobo Studio,6.6,0.31,0.09,0.0,0.18,0.04,2009-06-02
Catherine,X360,Puzzle,Atlus,Atlus,7.9,0.31,0.2,0.03,0.06,0.02,2011-07-26
Namco Museum: Virtual Arcade,X360,Misc,Namco Bandai,Namco Bandai Games,7.0,0.31,0.27,0.01,0.01,0.02,2008-11-04
NBA Live 08,PSP,Sports,Electronic Arts,EA Canada,6.8,0.31,0.28,0.0,0.0,0.02,2007-10-01
Silent Hill: Shattered Memories,PSP,Adventure,Konami,Climax Group,7.8,0.31,0.09,0.01,0.13,0.07,2010-01-19
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,Strategy,Konami,Konami,7.6,0.31,0.18,0.09,0.02,0.02,2010-02-23
Mega Man Zero Collection,DS,Platform,Capcom,Inti Creates,7.5,0.31,0.17,0.11,0.01,0.02,2010-06-08
Bust-A-Move Universe,3DS,Puzzle,Square Enix,Arika,5.6,0.31,0.08,0.06,0.15,0.02,2011-03-27
The King of Fighters XIII,PS3,Fighting,Atlus,SNK Playmore Corporation,7.8,0.3,0.17,0.04,0.07,0.03,2011-11-22
Dynasty Warriors 6,X360,Action,KOEI,Omega Force,6.2,0.3,0.15,0.06,0.06,0.02,2008-02-19
Tom Clancy's Splinter Cell 3D,3DS,Action,Ubisoft,Gameloft,8.0,0.3,0.14,0.07,0.07,0.02,2011-04-10
Resident Evil Archives: Resident Evil,Wii,Action,Capcom,Capcom Production Studio 4,7.6,0.3,0.16,0.08,0.04,0.02,2009-06-23
N3: Ninety-Nine Nights,X360,Action,Microsoft Game Studios,Q Entertainment / Phantagram,6.3,0.3,0.2,0.05,0.03,0.02,2006-08-15
Monopoly for Nintendo Switch,NS,Board Game,Ubisoft,Engine Software,5.3,0.3,0.06,0.01,0.22,0.02,2017-10-31
F1 2013,X360,Racing,Codemasters,Codemasters Birmingham,7.9,0.3,0.01,0.0,0.28,0.02,2013-10-08
Magna Carta 2,X360,Role-Playing,Namco Bandai,SoftMax,6.6,0.3,0.13,0.07,0.07,0.02,2009-10-13
Ever Oasis,3DS,Role-Playing,Nintendo,GREZZO,8.1,0.29,0.13,0.05,0.08,0.02,2017-06-23
NieR,X360,Role-Playing,Square Enix,Cavia Inc.,6.4,0.29,0.13,0.04,0.1,0.02,2010-04-27
"Sakura Wars: So Long, My Love",PS2,Role-Playing,NIS America,RED Entertainment,8.8,0.29,0.07,0.15,0.05,0.02,2010-03-30
Overcooked! 2,NS,Simulation,Sold Out,Ghost Town Games,8.4,0.29,0.17,0.01,0.09,0.03,2018-08-07
Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai,Project ACES,7.0,0.29,0.06,0.15,0.05,0.03,2010-08-31
Trauma Center: New Blood,Wii,Simulation,Atlus,Atlus Co.,7.5,0.29,0.22,0.01,0.04,0.02,2007-11-20
The Legend of Legacy,3DS,Role-Playing,Atlus,Cattle Call,6.0,0.29,0.14,0.11,0.02,0.02,2015-10-13
Majin and the Forsaken Kingdom,PS3,Adventure,Namco Bandai,Game Republic,7.0,0.29,0.09,0.01,0.14,0.05,2010-11-23
Feel the Magic XY/XX,DS,Puzzle,Sega,Sonic Team,7.7,0.29,0.17,0.1,0.0,0.02,2004-11-16
Dead Rising: Chop Till You Drop,Wii,Action,Capcom,Capcom Production Studio 1 / TOSE Software,6.7,0.29,0.15,0.05,0.07,0.02,2009-02-24
Sengoku Basara: Samurai Heroes,Wii,Action,Capcom,Capcom,6.0,0.29,0.06,0.2,0.02,0.01,2010-10-12
Warriors Orochi 2,PSP,Action,KOEI,Omega Force,5.3,0.29,0.06,0.22,0.0,0.01,2009-08-25
Dynasty Warriors: Strikeforce,PS3,Action,Tecmo Koei,Omega Force,6.8,0.29,0.11,0.07,0.08,0.03,2010-02-16
Trace Memory,DS,Adventure,Nintendo,Cing,6.5,0.29,0.15,0.12,0.01,0.01,2005-09-26
Wanted: Weapons of Fate,PS3,Shooter,Warner Bros. Interactive,GRIN,6.2,0.29,0.14,0.01,0.1,0.04,2009-03-24
Patapon 3,PSP,Platform,Sony Computer Entertainment,Pyramid/JAPAN Studio,7.4,0.28,0.05,0.17,0.04,0.02,2011-04-12
Rhythm Thief & the Emperor's Treasure,3DS,Misc,Sega,Sega,7.5,0.28,0.07,0.12,0.07,0.01,2012-07-10
WarioWare Gold,3DS,Misc,Nintendo,Intelligent Systems,8.1,0.28,0.11,0.13,0.03,0.01,2018-08-03
Darksiders,PS3,Action,THQ,Vigil Games,7.8,0.28,0.02,0.02,0.14,0.1,2010-01-05
El Shaddai: Ascension of the Metatron,PS3,Action,Ignition Entertainment,Ignition Entertainment,8.0,0.28,0.11,0.08,0.07,0.03,2011-08-16
Bladestorm: The Hundred Years' War,PS3,Action,KOEI,Omega Force,5.8,0.28,0.1,0.14,0.03,0.02,2007-11-06
Operation Flashpoint: Red River,X360,Shooter,Codemasters,Codemasters,7.0,0.28,0.1,0.01,0.14,0.03,2011-06-07
Dead to Rights: Retribution,PS3,Shooter,Namco Bandai,Volatile Games,6.0,0.28,0.1,0.02,0.12,0.05,2010-04-27
Armored Core: Project Phantasma,PS,Simulation,ASCII Entertainment,From Software,7.2,0.28,0.06,0.15,0.04,0.02,1998-09-30
Etrian Mystery Dungeon,3DS,Role-Playing,Atlus,Spike Chunsoft,7.6,0.28,0.11,0.14,0.01,0.01,2015-04-07
Shadow Hearts,PS2,Role-Playing,Midway Games,Sacnoth,7.0,0.28,0.09,0.1,0.07,0.02,2001-12-11
Dead or Alive,PS,Fighting,Tecmo,Team Ninja,8.3,0.28,0.09,0.1,0.06,0.02,1998-03-31
Virtua Fighter 5 Online,X360,Fighting,Sega,Sega-AM2,9.2,0.28,0.2,0.03,0.02,0.02,2007-10-30
Mega Man ZX,DS,Platform,Capcom,Inti Creates,8.1,0.28,0.16,0.1,0.0,0.02,2006-09-12
DeathSmiles,X360,Shooter,Aksys Games,Cave,8.0,0.28,0.15,0.05,0.06,0.02,2010-06-29
Mister Mosquito,PS2,Shooter,Eidos Interactive,Zoom Inc.,6.6,0.28,0.05,0.17,0.04,0.01,2002-03-12
Dragon Ball Z: Tenkaichi Tag Team,PSP,Fighting,Namco Bandai,Dimps Corporation,6.0,0.27,0.11,0.09,0.04,0.03,2010-10-19
Lightning Returns: Final Fantasy XIII,X360,Misc,Square Enix,Unknown,6.4,0.27,0.15,0.01,0.08,0.02,2014-02-11
Pac-Pix,DS,Puzzle,Namco,Namco,6.8,0.27,0.16,0.1,0.0,0.01,2005-04-26
Shadows of the Damned,PS3,Action,Electronic Arts,Grasshopper Manufacture,7.9,0.27,0.11,0.04,0.09,0.03,2011-06-21
R.U.S.E.,X360,Strategy,Ubisoft,Eugen Systems,8.0,0.27,0.12,0.0,0.11,0.02,2010-09-07
The World Ends with You: Final Remix,NS,Role-Playing,Nintendo,Square Enix,7.4,0.27,0.14,0.03,0.08,0.02,2018-10-12
Suikoden Tierkreis,DS,Role-Playing,Konami,Konami,7.7,0.27,0.09,0.15,0.02,0.01,2009-03-17
Etrian Odyssey V: Beyond the Myth,3DS,Role-Playing,Atlus,Atlus,7.9,0.27,0.11,0.14,0.01,0.01,2017-10-17
Etrian Odyssey: Millennium Girl,3DS,Role-Playing,Atlus,Atlus,8.1,0.26,0.1,0.14,0.01,0.01,2013-10-01
King's Field II,PS,Role-Playing,ASCII Entertainment,From Software,7.3,0.26,0.08,0.11,0.06,0.02,1996-10-31
Stella Glow,3DS,Role-Playing,Atlus,imageepoch Inc.,7.5,0.26,0.17,0.06,0.01,0.02,2015-11-17
Armored Core: Master of Arena,PS,Simulation,Agetec,From Software,7.2,0.26,0.07,0.13,0.05,0.02,2000-02-29
Bust A Groove 2,PS,Misc,Enix,Metro,7.0,0.26,0.04,0.18,0.03,0.02,1999-03-31
Metroid Prime Pinball,DS,Misc,Nintendo,Fuse Games Limited,7.6,0.26,0.22,0.02,0.0,0.02,2005-10-24
Castlevania: Harmony of Dissonance,GBA,Platform,Konami,Konami Computer Entertainment Tokyo,8.6,0.26,0.16,0.04,0.06,0.0,2002-09-16
Polarium,DS,Puzzle,Nintendo,Mitchell,7.6,0.26,0.13,0.11,0.01,0.01,2005-04-18
Resident Evil: Revelations,X360,Shooter,Capcom,Capcom,7.4,0.26,0.12,0.02,0.1,0.02,2013-05-21
Panzer Dragoon Orta,XB,Shooter,Sega,Smilebit,8.8,0.26,0.16,0.04,0.05,0.01,2003-01-12
Resident Evil: Deadly Silence,DS,Action,Capcom,Capcom,6.7,0.26,0.11,0.11,0.02,0.01,2006-02-07
Deadly Premonition,X360,Action,Ignition Entertainment,Access Games,6.0,0.26,0.18,0.0,0.06,0.02,2010-02-23
Sonic Boom: Fire & Ice,3DS,Platform,Sega,Sanzaru Games,6.9,0.25,0.14,0.02,0.08,0.02,2016-09-27
Ace Combat: Assault Horizon Legacy,3DS,Simulation,Namco Bandai,Namco Bandai Games,7.0,0.25,0.1,0.08,0.06,0.01,2011-11-15
Armored Core 4,X360,Simulation,Sega,From Software,6.5,0.25,0.19,0.03,0.01,0.02,2007-03-20
Bomberman Tournament,GBA,Puzzle,Activision,Hudson Soft,8.8,0.25,0.1,0.1,0.04,0.01,2001-06-26
Dead or Alive Xtreme 2,X360,Sports,Tecmo,Team Ninja,5.3,0.25,0.15,0.06,0.02,0.02,2006-11-13
Spirit Camera: The Cursed Memoir,3DS,Action-Adventure,Nintendo,Tecmo Koei Games,5.7,0.25,0.15,0.06,0.02,0.02,2012-04-13
Hunted: The Demon's Forge,PS3,Role-Playing,Bethesda Softworks,InXile Entertainment,6.1,0.25,0.12,0.02,0.09,0.03,2011-05-31
Disgaea 2: Dark Hero Days,PSP,Role-Playing,NIS America,Nippon Ichi Software,8.1,0.25,0.1,0.12,0.01,0.02,2009-09-08
Hybrid Heaven,N64,Role-Playing,Konami,KCEO,7.0,0.25,0.16,0.05,0.04,0.0,1999-09-01
Bomberman Generation,GC,Adventure,Majesco,Game Arts,8.4,0.25,0.15,0.06,0.04,0.01,2002-06-03
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,Role-Playing,Square Enix,Square Enix,6.9,0.25,0.13,0.05,0.06,0.02,2009-03-24
Game & Wario,WiiU,Party,Nintendo,Intelligent Systems,6.2,0.25,0.06,0.12,0.06,0.01,2013-06-23
Sid Meier's Civilization VI,NS,Strategy,2K Games,Firaxis Games,9.4,0.25,0.12,0.01,0.11,0.02,2018-11-16
Ar tonelico Qoga: Knell of Ar Ciel,PS3,Role-Playing,NIS America,Gust,7.0,0.24,0.08,0.13,0.01,0.01,2011-03-15
Disney Epic Mickey 2: The Power of Two,WiiU,Platform,Disney Interactive Studios,Junction Point Studios,5.9,0.24,0.13,0.01,0.08,0.02,2012-11-18
Dynasty Warriors 6 Empires,X360,Action,KOEI,Omega Force,6.3,0.24,0.16,0.04,0.02,0.02,2009-06-23
Singularity,PS3,Shooter,Activision,Raven Software,7.8,0.24,0.17,0.01,0.03,0.03,2010-06-29
Resident Evil Archives: Resident Evil Zero,Wii,Action,Capcom,Capcom Production Studio 4,5.8,0.24,0.13,0.06,0.04,0.01,2009-12-01
7th Dragon III Code: VFD,3DS,Role-Playing,Sega,Sega,7.5,0.24,0.06,0.13,0.04,0.01,2016-07-12
Disgaea: Afternoon of Darkness,PSP,Role-Playing,NIS America,Nippon Ichi Software,8.7,0.24,0.15,0.04,0.02,0.02,2007-10-30
Virtua Tennis 4,X360,Sports,Sega,Sega-AM2,6.5,0.24,0.12,0.01,0.09,0.02,2011-05-10
NBA Live 10,PSP,Sports,EA Sports,EA Canada,5.9,0.24,0.21,0.01,0.0,0.02,2009-10-06
Luminous Arc,DS,Role-Playing,Atlus,imageepoch Inc.,6.8,0.24,0.16,0.06,0.0,0.01,2007-08-14
Avalon Code,DS,Role-Playing,Marvelous Interactive,Matrix Software,7.1,0.24,0.11,0.12,0.0,0.01,2009-03-10
Fuel,PS3,Racing,Codemasters,Asobo Studio,6.6,0.24,0.08,0.0,0.11,0.04,2009-06-02
Valhalla Knights,PSP,Role-Playing,Xseed Games,K2 LLC,5.2,0.24,0.15,0.07,0.0,0.01,2007-04-17
Risen 2: Dark Waters,PS3,Role-Playing,Deep Silver,Piranha Bytes,5.5,0.23,0.04,0.01,0.14,0.03,2012-07-31
Attack on Titan 2,NS,Action,Koei Tecmo,Omega Force,7.0,0.23,0.12,0.08,0.02,0.02,2018-03-20
Hot Shots Tennis: Get a Grip,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.0,0.23,0.08,0.13,0.0,0.02,2010-06-29
Cross Edge,PS3,Role-Playing,NIS America,Compile Heart,5.4,0.23,0.14,0.05,0.02,0.02,2009-05-26
Dynasty Warriors: Strikeforce,X360,Action,Tecmo Koei,Omega Force,7.3,0.23,0.13,0.02,0.06,0.02,2010-02-16
Meteos,DS,Puzzle,Nintendo,Q Entertainment,8.8,0.23,0.15,0.06,0.01,0.01,2005-06-28
F1 2014,X360,Racing,Codemasters,Codemasters Birmingham,6.5,0.23,0.08,0.0,0.13,0.02,2014-10-21
Valhalla Knights 2,PSP,Role-Playing,Xseed Games,K2 LLC,5.0,0.23,0.09,0.12,0.0,0.01,2008-10-01
Lunar Knights,DS,Role-Playing,Konami,Kojima Productions,8.2,0.23,0.17,0.04,0.01,0.01,2007-02-06
Dragon Quest Builders: Revive Alefgard,NS,Role-Playing,Square Enix,Square Enix,8.0,0.22,0.07,0.07,0.07,0.01,2018-02-09
Life Is Strange: Before the Storm,PS4,Adventure,Square Enix,Deck Nine,7.5,0.22,0.11,0.02,0.06,0.03,2018-03-06
Afrika,PS3,Adventure,Natsume,Rhino Studios,6.0,0.22,0.12,0.08,0.0,0.01,2009-10-06
Kartia: The Word of Fate,PS,Strategy,Atlus,Atlus Co.,7.9,0.22,0.05,0.12,0.03,0.01,1998-07-31
Galactic Wrestling: Featuring Ultimate Muscle,PS2,Fighting,Bandai,Aki Corporation,7.3,0.22,0.03,0.17,0.02,0.01,2004-06-30
Tropico 3,X360,Strategy,Kalypso,Haemimont Games,7.7,0.22,0.15,0.03,0.02,0.01,2010-02-16
Resident Evil: Revelations,WiiU,Shooter,Capcom,Capcom,7.5,0.22,0.09,0.03,0.08,0.02,2013-05-21
Code Name: S.T.E.A.M.,3DS,Strategy,Nintendo,Intelligent Systems,8.0,0.22,0.14,0.02,0.05,0.02,2015-03-13
Attack on Titan 2,PS4,Action,Koei Tecmo,Omega Force,7.8,0.22,0.09,0.06,0.04,0.03,2018-03-20
Breath of Fire,GBA,Role-Playing,Capcom,Capcom,7.8,0.22,0.11,0.06,0.04,0.0,2001-12-13
Hunted: The Demon's Forge,X360,Role-Playing,Bethesda Softworks,InXile Entertainment,6.0,0.22,0.13,0.0,0.07,0.02,2011-05-31
Radiant Historia: Perfect Chronology,3DS,Role-Playing,Atlus,Atlus,8.1,0.21,0.11,0.06,0.03,0.01,2018-02-13
Vampire Rain,X360,Action,AQ Interactive,Artoon,3.9,0.21,0.18,0.01,0.0,0.02,2007-07-03
Fate/Extella: The Umbral Star,NS,Action,Xseed Games,Marvelous Entertainment,8.0,0.21,0.1,0.04,0.06,0.02,2017-07-25
Dead to Rights: Retribution,X360,Shooter,Namco Bandai,Volatile Games,5.7,0.21,0.11,0.0,0.08,0.02,2010-04-27
50 Cent: Blood on the Sand,X360,Shooter,THQ,Swordfish Studios,7.3,0.21,0.12,0.0,0.07,0.02,2009-02-24
Tenchu: Shadow Assassins,Wii,Action,Ubisoft,Acquire,7.0,0.21,0.15,0.03,0.01,0.01,2009-02-05
Final Fight One,GBA,Fighting,Capcom,Capcom,8.2,0.21,0.09,0.08,0.03,0.0,2001-09-26
Blue Dragon Plus,DS,Role-Playing,Ignition Entertainment,Mistwalker Corporation / Brownie Brown Inc. / Feelplus Inc.,6.5,0.21,0.12,0.05,0.03,0.01,2009-02-19
Tekken 3D: Prime Edition,3DS,Fighting,Namco Bandai,Namco Bandai Games,6.5,0.21,0.06,0.05,0.08,0.01,2012-02-14
Mana Khemia 2: Fall of Alchemy,PS2,Role-Playing,NIS America,Gust,8.2,0.2,0.07,0.05,0.05,0.02,2009-08-25
Dead or Alive Paradise,PSP,Misc,Tecmo,Team Ninja,4.5,0.2,0.08,0.07,0.02,0.02,2010-03-30
Arcana Heart 3,PS3,Fighting,Aksys Games,Examu Inc.,7.0,0.2,0.04,0.1,0.05,0.02,2014-09-23
Kung Fu Rider,PS3,Action,Sony Computer Entertainment,SCE Japan Studio,4.3,0.2,0.06,0.01,0.1,0.04,2010-09-17
Earth Defense Force: Insect Armageddon,PS3,Shooter,D3 Publisher,Vicious Cycle,6.6,0.2,0.06,0.08,0.04,0.02,2011-07-05
DanceMasters,X360,Misc,Konami,GCP1,6.2,0.2,0.15,0.02,0.02,0.01,2010-11-04
Solatorobo: Red the Hunter,DS,Role-Playing,Xseed Games,CyberConnect2,7.6,0.2,0.08,0.07,0.04,0.01,2011-09-27
Dark Messiah of Might and Magic Elements,X360,Role-Playing,Ubisoft,Arkane Studios / Floodgate Entertainment / Kuju Entertainment,5.0,0.2,0.16,0.01,0.02,0.02,2008-02-12
Infinite Space,DS,Role-Playing,Sega,PlatinumGames / Nude Maker,7.2,0.2,0.06,0.07,0.05,0.01,2010-03-16
Ogre Battle Saga Episode Five: The March of the Black Queen,PS,Role-Playing,Atlus,Quest Corporation,7.6,0.2,0.06,0.09,0.04,0.01,1997-07-31
Armored Core 4,PS3,Simulation,Sega,From Software,6.6,0.2,0.09,0.09,0.0,0.01,2007-03-20
Dragon Ball: Revenge of King Piccolo,Wii,Action,Namco Bandai,Bandai Namco Games,6.1,0.2,0.12,0.03,0.03,0.02,2009-10-20
Ridge Racer 6,X360,Racing,Namco,Namco,7.9,0.2,0.1,0.07,0.02,0.01,2005-11-17
Dante's Inferno,PSP,Action,Electronic Arts,Visceral Games,6.6,0.2,0.12,0.01,0.04,0.02,2010-03-02
No More Heroes: Heroes' Paradise,PS3,Action,Konami,FeelPlus,7.4,0.2,0.1,0.04,0.04,0.02,2011-08-16
Warriors Orochi,PSP,Action,KOEI,Omega Force / Koei Canada,6.4,0.2,0.02,0.18,0.0,0.0,2008-03-25
