title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date
Bust A Groove,PS,Misc,989 Studios,Metro,7.7,0.54,0.09,0.35,0.06,0.04,1998-10-31
Valkyria Chronicles II,PSP,Role-Playing,Sega,Sega WOW Overworks,8.1,0.54,0.12,0.18,0.16,0.09,2010-08-31
Two Worlds II,X360,Role-Playing,SouthPeak Interactive,Reality Pump,6.5,0.54,0.4,0.03,0.07,0.04,2011-01-25
Fire Emblem: Path of Radiance,GC,Role-Playing,Nintendo,Intelligent Systems,8.6,0.54,0.29,0.16,0.08,0.01,2005-10-17
Terminator Salvation,PS3,Shooter,Warner Bros. Interactive,GRIN,5.0,0.53,0.13,0.01,0.29,0.1,2009-05-19
Star Fox Command,DS,Shooter,Nintendo,Nintendo EAD / Q-Games,7.2,0.53,0.38,0.1,0.01,0.04,2006-08-28
Excite Truck,Wii,Racing,Nintendo,Monster Games Inc.,7.0,0.53,0.39,0.08,0.03,0.04,2006-11-19
Sonic & Sega All-Stars Racing Transformed,WiiU,Racing,Sega,Sumo Digital,6.9,0.53,0.19,0.02,0.28,0.04,2012-11-18
F1 2018,PS4,Racing,Codemasters,Codemasters Birmingham,8.9,0.53,0.05,0.01,0.39,0.08,2018-08-24
Clock Tower,PS,Adventure,ASCII Entertainment,Human Entertainment,6.1,0.53,0.07,0.38,0.05,0.03,1997-09-30
Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,Capcom,Capcom,7.6,0.53,0.21,0.26,0.04,0.03,2007-01-16
Rune Factory: A Fantasy Harvest Moon,DS,Role-Playing,Natsume,Neverland Company,8.1,0.53,0.35,0.14,0.01,0.03,2007-08-14
F.E.A.R. 2: Project Origin,X360,Shooter,Warner Bros. Interactive,Monolith Productions,7.9,0.52,0.32,0.0,0.15,0.05,2009-02-10
The 3rd Birthday,PSP,Role-Playing,Square Enix,HexaDrive,7.0,0.52,0.13,0.27,0.07,0.05,2011-03-29
Metal Gear Solid 2: Substance,PS2,Action,Konami,Konami Computer Entertainment Japan,8.5,0.52,0.18,0.16,0.14,0.05,2003-03-03
Silent Hill: Origins,PSP,Action,Konami,Climax Group,7.8,0.52,0.22,0.04,0.16,0.1,2007-11-06
GT Pro Series,Wii,Racing,Ubisoft,MTO,3.7,0.52,0.46,0.02,0.01,0.04,2006-11-14
Way of the Samurai 3,PS3,Action,Agetec,Acquire,6.5,0.52,0.18,0.22,0.08,0.04,2009-10-13
Mystery Dungeon: Shiren the Wanderer,DS,Role-Playing,Sega,ChunSoft,7.1,0.52,0.17,0.33,0.0,0.02,2008-03-04
Rune Factory 2: A Fantasy Harvest Moon,DS,Role-Playing,Natsume,Neverland Company,7.9,0.52,0.32,0.15,0.03,0.03,2008-11-18
Lair,PS3,Action,Sony Computer Entertainment,Factor 5,5.5,0.51,0.36,0.08,0.04,0.04,2007-08-30
Dynasty Warriors,PSP,Action,Tecmo Koei,Omega Force,6.6,0.51,0.18,0.3,0.0,0.02,2005-03-17
Pro Evolution Soccer 2010,Wii,Sports,Konami,Konami,8.1,0.51,0.12,0.06,0.27,0.05,2009-11-10
Fire Emblem Warriors,NS,Action,Nintendo,Omega Force,7.3,0.51,0.22,0.1,0.14,0.04,2017-10-20
Dragon Ball: Raging Blast,X360,Fighting,Namco Bandai,Spike,5.8,0.51,0.36,0.02,0.08,0.04,2009-11-10
SoulCalibur: Broken Destiny,PSP,Fighting,Namco Bandai,Project Soul,8.0,0.51,0.12,0.07,0.2,0.12,2009-09-01
Bleach: Soul Resurreccion,PS3,Fighting,NIS America,Eighting,6.7,0.51,0.27,0.07,0.11,0.06,2011-08-03
Wet,X360,Shooter,Bethesda Softworks,Artificial Mind and Movement,6.9,0.5,0.23,0.01,0.21,0.05,2009-09-15
Steel Diver,3DS,Action,Nintendo,Nintendo EAD,5.6,0.5,0.31,0.05,0.1,0.04,2011-03-27
Pokémon Art Academy,3DS,Misc,Nintendo,Headstrong Games,7.8,0.5,0.18,0.17,0.12,0.03,2014-10-24
Tactics Ogre: The Knight of Lodis,GBA,Role-Playing,Atlus,Quest Corporation,8.5,0.5,0.13,0.31,0.05,0.01,2002-05-11
